"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Nokia","BlackBerry","UC Browser","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","Yandex Browser","IEMobile","iPod Touch","Sony PS3","Mozilla","Obigo","Samsung","Openwave Mobile Browser","AppleWebKit","Midori","Iron","Pale Moon"
Barbados ,23.78,38.31,24.74,6.57,0,2.09,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,32.06,27.76,14.01,8.7,5.15,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,8.91,35.01,35.97,4.82,1.62,3.25,3.42,3.92,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,18.52,7.39,15.79,1.62,0,1.31,49.17,2.78,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,36.93,18.37,15.08,8.35,1.48,3.82,10.35,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,16.79,19.08,22.78,4.31,3.06,2.65,18.1,10.13,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,10.72,13.53,62.15,1.95,0,0,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,14.75,30.66,37.91,2.56,0,1.84,5.93,1.92,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,35.55,31.9,15.23,10.76,1.44,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,36.87,27.74,21.86,5.39,0,2.74,1.66,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,40.05,21.71,14.91,17.13,2.8,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,43.27,27.32,21.96,2.62,0,1.07,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,7.64,23.14,15.12,1.91,1.59,2.59,39.58,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,24.71,30.08,16.01,15.63,4.25,5.3,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0,0,0,0,0
Cuba ,13.46,9.17,74.12,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,26.38,31.56,22.56,9.74,1.42,5.08,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,27.52,18.2,19.2,4.5,0,1.92,16.38,7.45,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,28.07,34.86,22.4,7.58,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,36.01,18.41,21.31,5.82,1.54,3.27,9.38,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,8.91,23.26,53.06,3.76,0,1.54,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,35.9,28.4,15.78,11.92,2.23,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,34.62,21.67,25.02,4.41,0,1.64,5.56,2.2,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,25.13,43.92,19.47,7.16,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,22.12,23.55,34.02,5.21,1.31,2.25,6.57,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,25.69,40.27,23.28,5.47,0,1.09,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,12.79,36.05,14.08,2.66,0,2.08,27.39,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,30.06,23.84,12.87,25.55,3.78,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,29.67,16.12,27.42,3.79,3.6,3.21,8.51,3.55,0,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,33.94,25.57,21.02,7.99,1.13,2.25,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,100,14.29,33.33,11.13,1.56,1.79,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88
French Polynesia ,18.27,24.13,37.9,14.97,1.06,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,30.71,21.55,13.51,22.42,6.52,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,21,17.25,41.63,4.06,0,1.69,9.21,1.48,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,32.11,31.66,15.06,15.57,2.02,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,22.08,29.48,34.5,5.47,1.47,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,24.1,33.45,28.7,5.17,1.37,4.92,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,30.97,32.23,18.22,12.12,2.08,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,23.58,44.49,19.75,6.45,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
